Resor bokade av LTN´s kundservice till/från/inom Jokkmokk år 2019,,,,,,,,,,,
,,,,,,,,,,,
Förklaring,,,,,,,,,,,
"Plats: B=Bud, E=Ensamåkare, F=Framsäte, f= Fällt Framsäte, H=Hela baksätet, L=Liggande, 2=Max 2 pass i baksätet ",,,,,,,,,,,
"Biltyp: AN=Personbil, S1=Multi/Specialfordon",,,,,,,,,,,
,,,,,,,,,,,
Resdag,Avresetid,Biltyp,Plats,Antal pass,Från gata,Från ort,Från Kommun,Till gata,Till ort ,Till kommun,Linjenr
1/1/2019,04:00,AN,,2,ÅSGATAN,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/1/2019,06:30,AN,,1,FORSHÄLLAN,FORSHÄLLAN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/1/2019,12:40,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/1/2019,13:55,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FORSHÄLLAN,FORSHÄLLAN,JO,0
1/1/2019,16:05,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/2/2019,06:10,AN,,1,FORSHÄLLAN,FORSHÄLLAN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,06:22,AN,,1,ULLENIUSG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,06:27,AN,F,1,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,08:30,AN,,1,POLCIRKELV,MURJEK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,08:44,AN,,1,BODENV,VUOLLERIM,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,08:52,AN,,1,RINGV,VUOLLERIM,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/2/2019,09:16,AN,,1,RANDIJAURV,RANDIJAUR,JO,ÖRNENS GRUPPBO,JOKKMOKK,JO,0
1/2/2019,10:18,AN,,1,TÅRRAJAUR,TÅRRAJAUR,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/2/2019,11:55,AN,,1,LINGONSTIGEN,JOKKMOKK,JO,GRANBACKA,GÄLLIVARE,GÄ,0
1/2/2019,12:19,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,TÅRRAJAUR,TÅRRAJAUR,JO,0
1/2/2019,13:15,S1,,2,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/2/2019,13:20,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,BODENV,VUOLLERIM,JO,0
1/2/2019,13:20,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,POLCIRKELV,MURJEK,JO,0
1/2/2019,14:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FORSHÄLLAN,FORSHÄLLAN,JO,0
1/2/2019,14:00,AN,F,1,SJUKHUSET,GÄLLIVARE,GÄ,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/2/2019,14:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,ULLENIUSG,JOKKMOKK,JO,0
1/2/2019,14:10,S1,,2,HC JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/2/2019,14:30,AN,,1,LILLÅV,MURJEK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/2/2019,16:15,LI,,2,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/2/2019,19:30,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/3/2019,03:10,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/3/2019,03:45,LI,,6,HP BILISTEN,VUOLLERIM,JO,FLP LULEÅ,LULEÅ,LU,712
1/3/2019,10:00,AN,,2,FLP LULEÅ,LULEÅ,LU,MURJEKSV,VUOLLERIM,JO,0
1/3/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/3/2019,12:00,AN,,1,MATTISUDDEN,MATTISUDDEN,JO,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,0
1/3/2019,12:58,AN,,0,FRAMKÖRNING,,,SNICKARGRÄND,VUOLLERIM,JO,0
1/3/2019,13:00,AN,F,1,SNICKARGRÄND,VUOLLERIM,JO,KONSUM,VUOLLERIM,JO,0
1/3/2019,13:20,AN,F,1,KONSUM,VUOLLERIM,JO,SNICKARGRÄND,VUOLLERIM,JO,0
1/3/2019,15:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,SKABRAMG,JOKKMOKK,JO,0
1/3/2019,15:00,AN,F,1,SJUKHUSET,GÄLLIVARE,GÄ,VAIKIJAURV,JOKKMOKK,JO,0
1/3/2019,15:30,AN,,1,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,MATTISUDDEN,MATTISUDDEN,JO,0
1/3/2019,19:30,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/4/2019,03:10,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/4/2019,06:20,AN,,1,ULLENIUSG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/4/2019,09:44,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/4/2019,10:01,AN,,1,FLYGSTRÅKET,PORJUS,JO,HC GÄLLIVARE /PL,GÄLLIVARE,GÄ,0
1/4/2019,11:00,AN,B,0,SJUKHUSET,SUNDERBYN,LU,HC JOKKMOKK,JOKKMOKK,JO,0
1/4/2019,11:35,AN,F,1,FÖRENINGSG,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/4/2019,12:00,AN,F,1,HC JOKKMOKK,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/4/2019,12:15,AN,,1,FORSHÄLLAN,FORSHÄLLAN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/4/2019,12:21,AN,,0,FRAMKÖRNING,,,POLCIRKELV,MURJEK,JO,0
1/4/2019,12:23,AN,,1,POLCIRKELV,MURJEK,JO,DSK MOTT VUOLLERIM,VUOLLERIM,JO,0
1/4/2019,12:30,AN,F,1,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/4/2019,12:30,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/4/2019,12:30,AN,,1,TÅRRAJAUR,TÅRRAJAUR,JO,KONSUM,JOKKMOKK,JO,0
1/4/2019,13:30,AN,,1,DSK MOTT VUOLLERIM,VUOLLERIM,JO,POLCIRKELV,MURJEK,JO,0
1/4/2019,13:45,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,ULLENIUSG,JOKKMOKK,JO,0
1/4/2019,14:00,AN,,1,KONSUM,JOKKMOKK,JO,TÅRRAJAUR,TÅRRAJAUR,JO,0
